Network,FamilyName,Alias,FamilyRoleOrder,Instance,VisualSignature,Hook,AttackDesc,Orig1,Orig2,Orig3,Orig4,Fear1,Fear2,Fear3,Ambition1,Ambition2,Ambition3,Loves1,Loves2,Loves3,FamilyLinkType,FamilyLinkDetails,FamilyDynamicType,FamilyDynamicDetail,PartnerDesc,ExtPerson1,ExtPerson2,ExtPerson3,ExtDescription1,ExtDescription2,ExtDescription3
Affluence,Rick,Apollo B,7,8,"Curly hair and a close beard, hoodie under a work apron with a cross-body pouch; hands busy with stems and labels, expression earnest and intense, boots always ready for mud.",He guards the guest list and the greenhouse—access is his language.,"He charges with a megaphone like a baton, voice and momentum hitting at once to shove you out of position.","If you want in, prove you can handle what comes with it.","Apollo B carries Unity's Pharmacognosy Icon lane and moves with the confidence of someone used to being listened to. His family money comes from a plastics empire, which makes every sustainability speech he gives land with extra heat.","He is driven by his own insight and has friction with the narrative handed to him. He runs gatherings like gateways—who gets invited, who gets seen, who gets politely turned away—and he treats access as a form of discipline.","In private he is all work: greenhouse air, labels, careful hands. He is not slow to trust because he is hostile; he is slow because he is building a lane that is his, not his family's.",Being reduced to an heir,Losing autonomy,Family control — a fear that sits under the ribs and won’t move.,Earn recognition for his own work,Build a lasting botanical project,Break from the family narrative,Greenhouse routines,Rare herbs — a small habit that keeps them human.,Event planning boards,Gate,Controls invitations and supplies rare botanical resources that raise Unity's prestige.,Self-Made Heir,"Pushes hard to be seen for his work, not his surname; access is granted by standards he sets.",Unity Student with a life outside the campus spotlight. His partner is a grounded organizer type who keeps him scheduled and focused; she handles the social noise so he can stay on the work.,,,,,,
Transcendence,Protagonist,Rian R,8,1,"Muted luxury suit silhouette, portrait-like face, green eyes, compact voice-translator device, slim card case, precise posture, inventory gaze scanning objects/doors, minimal gestures, ASL-ready hands; carries an antique crest buckler strapped close like an heirloom shield.","A board-shadow Unity alumnus investor who stays functionally invisible to students; known to Criss and Filthy through endowment lane protocols. Mute and ritual-precise, he deliberately mirrors his great-uncle’s silhouette from a notorious campus portrait—an uncanny echo tied to Unity’s old money myths.",Surges forward behind the crest buckler and rams through with an honor-stamped impact.,"Access is never loud, it just opens  Show me the door that stays open after this.","He is mute and communicates via a compact voice-translator, typed notes, and ASL; he lets silence do the work in rooms built for prestige and control.","After finding his great-uncle’s journal, Kian adopted the ancestor’s exact presentation as a protocol—an infamous figure said to have died bitterly to avoid public humiliation from bankruptcy.","The journal frames appearance and ritual as keys to old routes; Kian’s crest is now a strapped buckler, treated as both proof and shield.",Public disgrace echoing the ancestor’s collapse,"Losing control of legacy access (keys, routes, permissions)","Being recognized before he’s ready—by rumor, portrait, or the wrong eyes in the dark","Protect Unity’s endowment legacy from collapse through containment, not spectacle",Prove the bloodline can carry responsibility without repeating the old failure,"Keep founder-lane artifacts out of hostile hands, even at personal cost",Provenance & legacy objects,Ritual order and controlled silence; Tennis,Family honor upheld through action,Patron,"Protagonist’s city-side backer in the redevelopment lanes—opens doors, funds cover stories, and keeps committees pointed the right way.",Gatekeeper,"Rian’s help always comes with a map: he doesn’t protect the protagonist from politics, he teaches them how to walk through it without bleeding out.","He’s betrothed to a city heiress with power that matches his own—an alliance that reads romantic in headlines and strategic in boardrooms. Around the protagonist, it lands as simple truth: Rian doesn’t move alone; every step has weight, witnesses, and a plan.",,,,,,
Transcendence,Protagonist,Hank F,8,2,"Work-worn responder jacket over practical layers; black rectangular glasses; short, messy hair; trimmed mustache and beard. Carries a heavy backpack rig and moves with steady, practiced urgency. After the work is done, he takes one controlled breath and checks his pocket inhaler like a habit he refuses to let rule him.","He shows up where the system is thin, stabilizes the moment, and disappears before anyone can turn him into a story.","Hank steps in close and anchors his stance. With a compact forward drive, he applies decisive pressure through the opponent's centerline, forcing space to collapse into a single hard moment. The movement is efficient and purposeful—an intervention executed without flourish—then he releases and resets as if the crisis never owned him.",I do the work that keeps tomorrow possible. ,"Hank Foster is a Country Ville native who learned early that help doesn't always arrive on time—so he became the kind of man who does. In the city, he works the margins as a mobile responder, moving between markets, backstreets, and low-rent corridors where emergencies happen faster than paperwork.","He reads like an extra at first: a calm worker in a crowd, a steady pair of hands that appears mid-chaos and leaves before the applause. He keeps his voice short, his tools clean, and his routes practical. People remember the results, not the man.","Hank's drive is simple and stubborn: stabilize, hand off, and keep the lane open for whoever comes next. He refuses to let comfort turn into collapse, and he refuses to let loss become an excuse for inaction—even when the city tries to erase the ones who hold it together.",Arriving a minute too late and realizing the handoff window closed.,Being used as a mask for someone else's crooked lane.,"Losing the one person he moved to the city for, and having no reason left to keep showing up.","Build a clean, quiet response route through the East District that keeps people alive without turning him into a headline.",Leave behind a field manual anyone can follow when the system fails.,"Prove that steady hands can beat panic, even when fate tries to thin the roster.","Practical routines that hold under pressure: checklists, clean tools, and routes that make sense.","Quiet, uncelebrated service: stabilizing someone, handing them off, then stepping back into the crowd.","Small comforts that reset the nervous system: roadside coffee, cool air after a call, and a song that keeps him steady on the drive home.",Shield,Protagonist’s close-range stabilizer—shows up when the system is thin and makes the room feel safer without stealing attention.,Anchor,Hank turns chaos into something you can stand on. He rarely argues; he just plants himself where the line must hold.,"She works as a city administrative coordinator—steady hands, clean paperwork, and a calm voice that keeps rooms from overheating. Hank’s life in the city got easier once she became his default reality-check: practical, observant, and quietly brave when things go sideways.",,,,,,
Transcendence,Protagonist,Delman B,8,3,"Lean construction lineman in weathered workwear; tool belt, gloves, and a keyring that never jingles. Comfortable on ladders, poles, and roof edges—he picks high places for quiet and line-of-sight, not for show.","He’s already “inside” before anyone realizes there was an outside route—because he started at the roofline, not the lobby.","Charges in with a demolition crowbar and keeps moving through the hit—ram, hook, and shove in one committed burst. His signature, Hardhat Override, is pure momentum and leverage: force first, then control.",Most locks are just habits pretending to be rules.,He learned early that modern infrastructure is half metal and half software—so he taught himself the digital layer the same way he learned knots: by doing it until it held.,"He works best outside, reading conduits, junction boxes, and camera sightlines before he ever touches a keypad or reader.",He chases height for solitude and clarity; the city gets honest when you’re above the noise and nothing can hide behind a crowd.,A forced sleep hit at height—his body going slack while there’s only air and steel under his boots.,Complacency on a line job: the one time you skip a check becomes the time something breaks permanently.,Being boxed indoors with no exit route—stuck in a room where the walls decide what happens next.,"Map the city’s vertical seams—roofs, ladders, service corridors—until no route is a surprise.",Cut Sloth’s crew off from their safe lanes by exposing the access points they think nobody notices.,"Build an independent, quiet “outside crew” that can fix, bypass, or vanish without leaving a story behind.",Rooftop wind and real silence above traffic,Tools that still work in rain and cold,Dawn coffee on a tailgate before a job,Breach Tech,"Protagonist’s ‘get-in-get-out’ specialist—pries open stuck systems, clears blocked routes, and makes impossible entries feel routine.",Linebreaker,"Delman treats obstacles like paperwork: loud, temporary, and meant to be removed. He keeps the protagonist moving when others freeze.","His wife is a housewife who runs the home like a steady engine—quiet routines, small rescues, and a patience that doesn’t ask for applause. She’s the reason Delman can chase chaos all day and still remember what ‘normal’ feels like at night.",,,,,,
Transcendence,Protagonist,Severin S,8,4,"Red-carpet-perfect grooming, calibrated smile, and camera-ready posture; designer tux or clean streetwear, sunglasses on standby; never touches the hors d’oeuvres—only water in hand.","A global action star who sounds rehearsed even one-on-one—until you catch him alone, and the voice drops to something blunt and real.","Plants like he’s hitting a camera mark, then scythes a low-line strike with Carbon-Fiber Instep Braces—clean enough for the carpet, vicious enough for a service hall. Targets lose footing first, composure second.","I never miss a mark, even when the mark is me.","Off-stage, the perfection is a protocol. He never eats under spotlights and keeps his hands steady on a bottle of water—not for health, for control. Catch him alone in a stairwell or freight corridor and the mask drops: fewer words, sharper eyes, faster exits.","He operates as Survivor’s Insurance: a famous face that can move quietly through restricted rooms, launder access, and turn ‘event logistics’ into clean rendezvous. Glamour’s crew has used him for years as a deniable point of contact—useful, present, never truly touched.","He’s on the circuit because he believes the city hides predators bigger than crews. When incidents feel wrong—air sharp, lights glitching, hallways rerouting—he listens for the scorched-mineral edge of danger and moves first.",Being surprised in a room built to look safe.,Losing control of his body routine and showing fear on camera.,"Being erased, replaced, or rewritten while the city applauds.",Build an invisible do-not-touch perimeter around the people and assets he’s sworn to keep safe.,Prove what stalks high-profile rooms before it becomes a public contagion.,Step off the stage without leaving a trail—or a vacancy someone can wear.,"Clean exits, clean corridors, clean timing.","Control rituals that keep the mask steady—water, breath, and measured steps.",The rare moment alone when his voice can be normal again.,Cover Star,"Protagonist’s public-facing cover—uses celebrity gravity to redirect eyes, calm crowds, and make emergency moves look like ‘official plans.’",Spotlight,Severin knows how to shine without burning. He keeps the protagonist invisible when needed—and undeniable when it’s time to act.,"He’s dating a well-known model, and the relationship is equal parts real affection and relentless spotlight management. She understands the game, but she also pushes him to keep one corner of his life unperformed.",,,,,,
Transcendence,Protagonist,Bram W,8,5,"A composed, authoritative figure with a pilot’s bearing and disciplined posture, often seen in clean, wind-safe attire and aviator sunglasses during emergencies. He carries a signal flare launcher like a practical tool rather than a weapon, and his calm presence reads as crisis leadership more than politics.",Second-Chance mayor who leads from the crisis line and never treats survival as ceremony.,Fires a flare upward that bursts into a blinding beacon and forces aerial targets down.,Stability is what holds when things start breaking.,"Bram Willemsen is the sitting mayor, known more as a crisis-era leader than a ceremonial figure. Before office, he built his reputation in infrastructure planning and emergency operations, staying close to the work that keeps the city running when systems fail.","He prefers command centers and briefings over spotlight moments, listening longer than he speaks and acting decisively once a route is chosen. People around him describe a leader who trusts specialists, values preparation, and remain calm when the room turns loud.","When escape routes collapse and decisions narrow to seconds, Bram does not step back. He shows up where the city is weakest, not where it is safest, and that habit has made him both dependable and vulnerable.",Leaving outcomes unresolved,Becoming symbolic instead of useful,Systems choosing efficiency over people,Leave a city that no longer needs him,Make preparedness visible and repeatable,Keep the exit open for everyone,Clear skies after containment,Redundant systems and backup routes,Watching specialists take the lead,Civic Face,"Protagonist’s legitimacy bridge—puts his name on hard calls, coordinates responders, and turns ‘impossible’ into a signed directive.",Crisis Steward,"Bram leads from the wound: steady hands, blunt honesty. He gives the protagonist permission to do what must be done—and takes the heat.","They work as a housewife. His wife helps him unofficially with the political grind—calls answered, calendars smoothed, conversations prepped, fires put out before they become headlines. She’s not on the payroll, but she’s in the work, and Bram trusts her judgment more than any advisor’s.",,,,,,
Transcendence,Protagonist,Tate H,8,6,"Volunteer fire captain with a calm, grounded presence; short-cropped hair, weathered hands, steady eyes. In the Annex he wears long-sleeve flame-resistant workwear with chemical gloves and protective goggles perched or down when it matters; a battered clipboard with color-tabbed checklists never leaves his grip.","The Annex’s quiet caretaker—warm in the hallway, iron in an emergency. He keeps the lab livable while the core five chase deliverables upstairs, and he’s the one person left holding the door when the breach comes.","Launches upward with a two-handed fire axe, then brings it down in a decisive overhead cleave as he lands—an aerial strike built on commitment, momentum, and control.","If you can laugh, you can breathe, and if you can breathe, you can work.","The city started treating him like an unofficial problem-solver—whenever something goes wrong, Tate shows up, stabilizes the scene, and leaves no drama behind.","A board-backed Annex contract pulls him into Digital Dynamo’s hidden layer as a safety-and-continuity hand: inspections, drills, access paths, and the human-error gaps nobody budgets for.","He doesn’t chase credit. He keeps receipts, keeps people hydrated, keeps the corridors clear—then disappears back to the station before anyone thinks to thank him.","Freezing when the moment demands a decision—the call he didn’t make, repeated.","A preventable incident in the Annex: heat, fumes, sparks, or panic taking someone he was supposed to protect.",Becoming ‘the help’ forever—useful but unseen—until the day he’s the only one left to pay for everyone’s shortcuts.,"Make the Annex impossible to lose: clean routes, clear drills, zero confusion under pressure.","Earn a quiet kind of peace—proof that his hands can still build safety, not just survive disaster.",Finish one perfect model build and display it at the station as a tiny monument to patience and craft.,Firehouse duty and quiet hero work,"Spreadsheet tabs, checklists, and keeping spaces orderly",Model building and LARP weekends (the harmless kind of chaos),Quartermaster,"Protagonist’s quiet caretaker—keeps the Annex running, tracks supplies, patches gaps, and notices when the team’s morale is cracking.",Caretaker,"Tate doesn’t demand trust; he earns it with consistency. When everyone else is loud, he’s the calm room you can return to.","He lost his wife to a fire, and the grief didn’t turn into bitterness—it turned into duty. Becoming a deceased gave him a way to keep showing up for people on their worst night, the way he once wished someone could have shown up for him.",,,,,,
Transcendence,Protagonist,Benedict C,8,7,"Baseball cap, calm smile, wire-frame glasses, layered blues/greens (no yellow), work gloves tucked in back pocket, worn scroll satchel; hands always busy—hammer, plank, or a rolled parchment.","A civic chapel minister who earns trust the hard way—by showing up early, lifting first, and speaking last. In chaos he looks like just another worker… until the room starts moving because he did.","He springs upward and unfurls an aged scroll mid-air, voice low and steady. A radiant sigil forms above his head; he finishes the cadence, points, and the sigil breaks free—plunging fast to strike where the target stands.",You do not need permission to be helped.,Known as “Father Ben” in the community; close friends call him “Ben” and he avoids formal titles.,"Blends in by design: approachable streetwear, bright but grounded colors, always carrying tools for small repairs.","Moves like a doer, not a performer—people believe his words because they have watched him work.",Becoming a symbol instead of a person.,Helping the wrong way and leaving people worse off.,His body failing before the work is finished.,Leave Lewor’s community stronger than he found it.,Train volunteers who can outlast him and carry the work forward.,Build a quiet emergency response web—neighbors who respond before panic does.,Hands-on repairs and practical tools.,Shared meals with volunteers after long work.,Watching someone choose hope without needing applause.,Chaplain,"Protagonist’s trust-broker in the chapel lanes—speaks to the frightened, steadies volunteers, and keeps the mission human.",Moral Compass,Benedict never preaches at the protagonist—he reframes. He’s the voice that turns vengeance into purpose and panic into choice.,"They’ve passed away. His late wife lived with a lifelong illness, and the years of quiet caretaking shaped the way he speaks—gentle, patient, and unafraid of hard truths. He carries her memory like a vow: compassion first, even when the world demands speed.",,,,,,
Transcendence,Protagonist,Thomas B,8,8,A tired professional calm held together by immaculate grooming and a habit of scanning exits. His posture is quiet but absolute—like a man who’s already decided what the truth costs.,"He speaks softly, writes one line in his notes, and suddenly the whole room realizes they’ve been caught by procedure—not volume.","Charlie keeps his patrol carbine low until the second it matters. A tight pivot, sling snaps taut, and the muzzle tilts skyward—three controlled bursts that cut the air like punctuation. He doesn’t spray; he corrects. Targets that thought height meant safety learn the city’s limits.",Write it down. Date it. Then we can talk,"Thomas finished a technical track at Lewor first—systems, reports, procedure—then pivoted into the academy and climbed through the precinct on reputation: clean cases, clean hands, no favors.","He visits the frat house alone because he knows the layout by muscle memory, but he keeps the truth close. He suspects the park crew has roots inside and treats every friendly hallway like a soft interview.","When Josh is taken, Brown’s team hits the corridor prepared—trained and equipped—only to learn the attackers don’t respond like normal suspects. The case becomes the line he refuses to let the city cross twice.",Convenience-corruption: one “small shortcut” that stains every case after it.,Losing another team to an ambush he should’ve read before the door opened.,The park turning into a recruitment engine the city pretends is “just a park.”,Break the park crew’s expansion before it becomes a permanent district fact.,"Build a clean, repeatable playbook for training detectives who don’t bend when pressure spikes.","Close one case with zero doubt—clean chain, clean win, no ghosts attached.","Chain-of-custody rituals: notes, tags, and evidence that stays true.","Late coffee, quiet diners, and city maps marked with routes that actually work.",Badge maintenance and disciplined drills—keeping his hands steady when the city isn’t.,Enforcer,"Protagonist’s discipline and ground-law contact—keeps patrol pressure manageable, redirects investigations, and locks down scenes fast.",Discipline,"Thomas writes one line and expects it obeyed. He’s not sentimental, but he’s loyal once the protagonist proves they won’t waste lives.","His fiancée is his coworker—another police officer—and they understand each other in the blunt shorthand of long shifts and bad scenes. They’re not a ‘work couple’; they’re the person each trusts to come home honest, even when the day was ugly.",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_DICTIONARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM: Family,"Family refers ONLY to the primary’s family group (FamilyName), including the primary themselves (e.g., Milo-family, Kevin-family, William-family, etc.).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TERM: External Relationships,"External relationships refer to links that are NOT family, NOT associates, and NOT partners.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field,Meaning,Notes / Examples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network,"Network/proxy bucket this record belongs to (e.g., William, Sebastian, Milo, etc.).",Used for grouping; not a public-facing name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyName,"Primary’s family group name (Milo, Kevin, William, Sebastian, Dan, Nick, Rick, Protagonist).",Replaces Cardinal; use as family-group label.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alias,Immutable proxy identifier for the character.,Primary lookup key across datasets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyRoleOrder,Primary ordering key (family/roster order).,Sort by this first when needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instance,Secondary ordering key (1–8).,Sort by this second when needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VisualSignature,High-signal visual tell / silhouette cue.,"Short, image-friendly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hook,Fast ‘why you care’ story handle.,1–2 sentence punch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AttackDesc,Signature combat/ability description (flavor).,Game-forward phrasing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orig1–Orig4,Origin/Background beats (stacked).,Use as modular backstory tiles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fear1–Fear3,"Character-facing fears, written as short flavored lines.",Narrative pressure points.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambition1–Ambition3,"Goals/drives, written as short flavored lines.",Motivation & arc fuel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loves1–Loves3,"Hobbies/comfort anchors, written as short flavored lines.",Humanizing texture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyLinkType,Type label for family linkage within the same FamilyName group.,"E.g., Parent/Child/Sibling/Cousin/None.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyLinkDetails,Concrete details for the family link.,Who/where/what ties.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyDynamicType,Type label for the family dynamic.,"E.g., Loyal/Strained/Protective.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FamilyDynamicDetail,Concrete dynamic description.,How they behave under stress.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PartnerDesc,Writer-facing partner description (status + texture).,PartnerType lives in asc_network.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExtPerson1–ExtPerson3,External non-core person handles used in the bio.,"External = non-family, non-associate, non-partner.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExtDescription1–ExtDescription3,One-line descriptions for each external person.,Tie to plot tension or texture.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
